id;start_date;end_date;language
1;2020-06-25T03:03:20;2020-06-25T00:53:35;SPANISH
2;2020-06-24T07:53:31;2020-06-25T02:57:56;SPANISH
3;2020-06-24T22:48:50;2020-06-24T09:22:59;FRENCH
4;2020-06-24T14:06:21;2020-06-25T01:37:47;FRENCH
5;2020-06-24T23:36:39;2020-06-25T04:23:38;FRENCH
6;2020-06-24T17:29:00;2020-06-25T05:37:14;FRENCH
7;2020-06-24T19:14:20;2020-06-24T13:05:11;FRENCH
8;2020-06-24T18:10:33;2020-06-25T04:26:41;SPANISH
9;2020-06-24T16:51:42;2020-06-24T13:33:05;SPANISH
10;2020-06-25T01:03:46;2020-06-24T11:38:16;SPANISH
